crop,disease history,msp,temp,rainfall,humidity,n,p,k,season,soil,type
green gram,"leaf blight,powdery mildew,root rot",5375,30.9,952.75,79.31,41.2,10.3,15.45,kharif,redsoil,8
tea,"blister blight,chemiliabiback",2000,17.51,2678,20.6,139.05,41.2,96.82,kharif,lateritesoil,9
chillies,"wilting,canker,mosaic virral",7500,20.6,566.5,22.66,77.25,77.25,56.65,kharif,alluvialsoil,10
turmeric,"ryzome,leaf bloeth,dry rot",6000,25.75,1545,43.26,128.75,38.11,38.11,kharif,alluvialsoil,11
sugar cane,"orangerust,leafcald,mosaicviral",275,28.84,1854,72.1,309,103,206,kharif,alluvialsoil,12
jute,"leafblight,seedlingblight,mosaicvirus",3700,28.84,1854,74.16,20.6,20.6,20.6,kharif,redsoil,13
sorghum,"bacterial leaf spot, charcoal rot",2800,28.84,540.75,77.25,82.4,41.2,0,kharif,alluvialsoil,14
bajra,downey mildew,1750,25.75,515,51.5,113.3,41.2,20.6,rabi,blacksoil,15
red gram,"wilt ,stem blight, dry root rot",5050,33.99,540.75,88.58,20.6,51.5,20.6,kharif,blacksoil,16
black gram ,"yello mossaic virus, leaf crinkle ,powdery mildew",4400,30.9,746.75,86.52,25.75,51.5,30.9,rabi,alluvialsoil,17
sesame,"bacterialblight,rootrot,phyllody",5600,27.81,824,76.22,51.5,25.75,25.75,kharif,lateritesoil,18
sweet potato,"black rot,bacterial stem,root rot",4875,24.72,463.5,53.56,206,59.74,131.84,rabi,marshy,19
mustard,"white rust, club root, bacterial blight",3700,26.78,463.5,60.77,82.4,20.6,20.6,rabi,alluvialsoil,20
soyabean,"stem rot, stram blight",3050,28.84,51.5,77.25,25.75,51.5,30.9,rabi,alluvialsoil,21
lin seed,"rust, wilt mildew, powdery mildew",4050,15.45,618,23.69,92.7,41.2,30.9,kharif,alluvialsoil,22
niger,"powdery miltew,milt",4050,21.63,1184.5,36.05,20.6,41.2,0,kharif,blacksoil,23
capsicum,"bactrial spot, charcoal rot, root knot",3500,30.9,1030,80.34,77.25,77.25,56.65,kharif,redsoil,24
cucumber,"powdery mildew, cucumber betelles, mosiac",2200,19.57,463.5,26.78,103,51.5,51.5,rabi,alluvialsoil,25
ridge gourd,"belly rot, bacterial milt, downey mildew",2540,32.96,515,81.37,103,61.8,61.8,kharif,alluvialsoil,26
bottle gourd,"furasium milt, powdery mildew, downey mildew",2500,25.75,309,66.95,103,51.5,51.5,rabi,alluvialsoil,27
snake gourd,"antracnose, leaf spot",2600,26.78,618,70.04,61.8,51.5,41.2,kharif,alluvialsoil,28
Water melon,"bacterial fruit blotch, antracnose",2000,25.75,566.5,65.92,61.8,41.2,41.2,kharif,alluvialsoil,29
muskmelon,"powdery mildew, root knot, ",3200,28.84,463.5,75.19,103,77.25,51.5,kharif,alluvialsoil,30
cauli flower,"black leg,camping off, leaf spot",3000,17.51,412,21.63,103,51.5,51.5,rabi,alluvialsoil,31
onion,"downey mildew,purple blotch, green mould",2500,17.51,360.5,25.75,103,51.5,72.1,kharif,alluvialsoil,32
french bean,"leaf spot, antracnose",5450,19.57,401.7,23.69,61.8,41.2,41.2,rabi,alluvialsoil,33
garden pea,"brown spot, gray mold, root rot",6000,18.54,442.9,23.69,30.9,51.5,25.75,rabi,alluvialsoil,34
maize,leaf blight,1750,23.805,672.75,35.19,278.415,115.92,278.415,kharif,blacksoil,1
cotton,boll weevil,5150,23.805,1035,37.26,253.575,43.47,69.345,kharif,blacksoil,2
wheat,"leaf rust , spike blight , saw fly",1840,24.84,776.25,36.225,209.07,75.555,179.055,rabi,alluvialsoil,3
paddy,"rice blast , shealth blast ",1750,25.875,698.625,56.925,18.63,3.105,18.63,kharif,alluvialsoil,4
barley,"bacterial blight , powdery mildew",1440,36.225,569.25,82.8,62.1,7.245,7.245,rabi,alluvialsoil,5
finger millet,magnaporthe grascea,1800,23.805,569.25,36.225,62.1,31.05,31.05,kharif,blacksoil,6
ground nut,"early leaf spot,rust disease,stem rot",4890,26.91,595.125,57.96,31.05,0,155.25,kharif,redsoil,7
green gram,"leaf blight,powdery mildew,root rot",5375,31.05,957.375,79.695,41.4,10.35,15.525,kharif,redsoil,8
tea,"blister blight,chemiliabiback",2000,17.595,2691,20.7,139.725,41.4,97.29,kharif,lateritesoil,9
chillies,"wilting,canker,mosaic virral",7500,20.7,569.25,22.77,77.625,77.625,56.925,kharif,alluvialsoil,10
turmeric,"ryzome,leaf bloeth,dry rot",6000,25.875,1552.5,43.47,129.375,38.295,38.295,kharif,alluvialsoil,11
sugar cane,"orangerust,leafcald,mosaicviral",275,28.98,1863,72.45,310.5,103.5,207,kharif,alluvialsoil,12
jute,"leafblight,seedlingblight,mosaicvirus",3700,28.98,1863,74.52,20.7,20.7,20.7,kharif,redsoil,13
sorghum,"bacterial leaf spot, charcoal rot",2800,28.98,543.375,77.625,82.8,41.4,0,kharif,alluvialsoil,14
bajra,downey mildew,1750,25.875,517.5,51.75,113.85,41.4,20.7,rabi,blacksoil,15
red gram,"wilt ,stem blight, dry root rot",5050,34.155,543.375,89.01,20.7,51.75,20.7,kharif,blacksoil,16
black gram ,"yello mossaic virus, leaf crinkle ,powdery mildew",4400,31.05,750.375,86.94,25.875,51.75,31.05,rabi,alluvialsoil,17
sesame,"bacterialblight,rootrot,phyllody",5600,27.945,828,76.59,51.75,25.875,25.875,kharif,lateritesoil,18
sweet potato,"black rot,bacterial stem,root rot",4875,24.84,465.75,53.82,207,60.03,132.48,rabi,marshy,19
mustard,"white rust, club root, bacterial blight",3700,26.91,465.75,61.065,82.8,20.7,20.7,rabi,alluvialsoil,20
soyabean,"stem rot, stram blight",3050,28.98,51.75,77.625,25.875,51.75,31.05,rabi,alluvialsoil,21
lin seed,"rust, wilt mildew, powdery mildew",4050,15.525,621,23.805,93.15,41.4,31.05,kharif,alluvialsoil,22
niger,"powdery miltew,milt",4050,21.735,1190.25,36.225,20.7,41.4,0,kharif,blacksoil,23
capsicum,"bactrial spot, charcoal rot, root knot",3500,31.05,1035,80.73,77.625,77.625,56.925,kharif,redsoil,24
cucumber,"powdery mildew, cucumber betelles, mosiac",2200,19.665,465.75,26.91,103.5,51.75,51.75,rabi,alluvialsoil,25
ridge gourd,"belly rot, bacterial milt, downey mildew",2540,33.12,517.5,81.765,103.5,62.1,62.1,kharif,alluvialsoil,26
bottle gourd,"furasium milt, powdery mildew, downey mildew",2500,25.875,310.5,67.275,103.5,51.75,51.75,rabi,alluvialsoil,27
snake gourd,"antracnose, leaf spot",2600,26.91,621,70.38,62.1,51.75,41.4,kharif,alluvialsoil,28
Water melon,"bacterial fruit blotch, antracnose",2000,25.875,569.25,66.24,62.1,41.4,41.4,kharif,alluvialsoil,29
muskmelon,"powdery mildew, root knot, ",3200,28.98,465.75,75.555,103.5,77.625,51.75,kharif,alluvialsoil,30
cauli flower,"black leg,camping off, leaf spot",3000,17.595,414,21.735,103.5,51.75,51.75,rabi,alluvialsoil,31
onion,"downey mildew,purple blotch, green mould",2500,17.595,362.25,25.875,103.5,51.75,72.45,kharif,alluvialsoil,32
french bean,"leaf spot, antracnose",5450,19.665,403.65,23.805,62.1,41.4,41.4,rabi,alluvialsoil,33
garden pea,"brown spot, gray mold, root rot",6000,18.63,445.05,23.805,31.05,51.75,25.875,rabi,alluvialsoil,34
maize,leaf blight,1750,23.92,676,35.36,279.76,116.48,279.76,kharif,blacksoil,1
cotton,boll weevil,5150,23.92,1040,37.44,254.8,43.68,69.68,kharif,blacksoil,2
wheat,"leaf rust , spike blight , saw fly",1840,24.96,780,36.4,210.08,75.92,179.92,rabi,alluvialsoil,3
paddy,"rice blast , shealth blast ",1750,26,702,57.2,18.72,3.12,18.72,kharif,alluvialsoil,4
barley,"bacterial blight , powdery mildew",1440,36.4,572,83.2,62.4,7.28,7.28,rabi,alluvialsoil,5
finger millet,magnaporthe grascea,1800,23.92,572,36.4,62.4,31.2,31.2,kharif,blacksoil,6
ground nut,"early leaf spot,rust disease,stem rot",4890,27.04,598,58.24,31.2,0,156,kharif,redsoil,7
green gram,"leaf blight,powdery mildew,root rot",5375,31.2,962,80.08,41.6,10.4,15.6,kharif,redsoil,8
tea,"blister blight,chemiliabiback",2000,17.68,2704,20.8,140.4,41.6,97.76,kharif,lateritesoil,9
chillies,"wilting,canker,mosaic virral",7500,20.8,572,22.88,78,78,57.2,kharif,alluvialsoil,10
turmeric,"ryzome,leaf bloeth,dry rot",6000,26,1560,43.68,130,38.48,38.48,kharif,alluvialsoil,11
sugar cane,"orangerust,leafcald,mosaicviral",275,29.12,1872,72.8,312,104,208,kharif,alluvialsoil,12
jute,"leafblight,seedlingblight,mosaicvirus",3700,29.12,1872,74.88,20.8,20.8,20.8,kharif,redsoil,13
sorghum,"bacterial leaf spot, charcoal rot",2800,29.12,546,78,83.2,41.6,0,kharif,alluvialsoil,14
bajra,downey mildew,1750,26,520,52,114.4,41.6,20.8,rabi,blacksoil,15
red gram,"wilt ,stem blight, dry root rot",5050,34.32,546,89.44,20.8,52,20.8,kharif,blacksoil,16
black gram ,"yello mossaic virus, leaf crinkle ,powdery mildew",4400,31.2,754,87.36,26,52,31.2,rabi,alluvialsoil,17
sesame,"bacterialblight,rootrot,phyllody",5600,28.08,832,76.96,52,26,26,kharif,lateritesoil,18
sweet potato,"black rot,bacterial stem,root rot",4875,24.96,468,54.08,208,60.32,133.12,rabi,marshy,19
mustard,"white rust, club root, bacterial blight",3700,27.04,468,61.36,83.2,20.8,20.8,rabi,alluvialsoil,20
soyabean,"stem rot, stram blight",3050,29.12,52,78,26,52,31.2,rabi,alluvialsoil,21
lin seed,"rust, wilt mildew, powdery mildew",4050,15.6,624,23.92,93.6,41.6,31.2,kharif,alluvialsoil,22
niger,"powdery miltew,milt",4050,21.84,1196,36.4,20.8,41.6,0,kharif,blacksoil,23
capsicum,"bactrial spot, charcoal rot, root knot",3500,31.2,1040,81.12,78,78,57.2,kharif,redsoil,24
cucumber,"powdery mildew, cucumber betelles, mosiac",2200,19.76,468,27.04,104,52,52,rabi,alluvialsoil,25
ridge gourd,"belly rot, bacterial milt, downey mildew",2540,33.28,520,82.16,104,62.4,62.4,kharif,alluvialsoil,26
bottle gourd,"furasium milt, powdery mildew, downey mildew",2500,26,312,67.6,104,52,52,rabi,alluvialsoil,27
snake gourd,"antracnose, leaf spot",2600,27.04,624,70.72,62.4,52,41.6,kharif,alluvialsoil,28
Water melon,"bacterial fruit blotch, antracnose",2000,26,572,66.56,62.4,41.6,41.6,kharif,alluvialsoil,29
muskmelon,"powdery mildew, root knot, ",3200,29.12,468,75.92,104,78,52,kharif,alluvialsoil,30
cauli flower,"black leg,camping off, leaf spot",3000,17.68,416,21.84,104,52,52,rabi,alluvialsoil,31
onion,"downey mildew,purple blotch, green mould",2500,17.68,364,26,104,52,72.8,kharif,alluvialsoil,32
french bean,"leaf spot, antracnose",5450,19.76,405.6,23.92,62.4,41.6,41.6,rabi,alluvialsoil,33
garden pea,"brown spot, gray mold, root rot",6000,18.72,447.2,23.92,31.2,52,26,rabi,alluvialsoil,34
maize,leaf blight,1750,24.035,679.25,35.53,281.105,117.04,281.105,kharif,blacksoil,1
cotton,boll weevil,5150,24.035,1045,37.62,256.025,43.89,70.015,kharif,blacksoil,2
wheat,"leaf rust , spike blight , saw fly",1840,25.08,783.75,36.575,211.09,76.285,180.785,rabi,alluvialsoil,3
paddy,"rice blast , shealth blast ",1750,26.125,705.375,57.475,18.81,3.135,18.81,kharif,alluvialsoil,4
barley,"bacterial blight , powdery mildew",1440,36.575,574.75,83.6,62.7,7.315,7.315,rabi,alluvialsoil,5
finger millet,magnaporthe grascea,1800,24.035,574.75,36.575,62.7,31.35,31.35,kharif,blacksoil,6
ground nut,"early leaf spot,rust disease,stem rot",4890,27.17,600.875,58.52,31.35,0,156.75,kharif,redsoil,7
green gram,"leaf blight,powdery mildew,root rot",5375,31.35,966.625,80.465,41.8,10.45,15.675,kharif,redsoil,8
tea,"blister blight,chemiliabiback",2000,17.765,2717,20.9,141.075,41.8,98.23,kharif,lateritesoil,9
chillies,"wilting,canker,mosaic virral",7500,20.9,574.75,22.99,78.375,78.375,57.475,kharif,alluvialsoil,10
turmeric,"ryzome,leaf bloeth,dry rot",6000,26.125,1567.5,43.89,130.625,38.665,38.665,kharif,alluvialsoil,11
sugar cane,"orangerust,leafcald,mosaicviral",275,29.26,1881,73.15,313.5,104.5,209,kharif,alluvialsoil,12
jute,"leafblight,seedlingblight,mosaicvirus",3700,29.26,1881,75.24,20.9,20.9,20.9,kharif,redsoil,13
sorghum,"bacterial leaf spot, charcoal rot",2800,29.26,548.625,78.375,83.6,41.8,0,kharif,alluvialsoil,14
bajra,downey mildew,1750,26.125,522.5,52.25,114.95,41.8,20.9,rabi,blacksoil,15
red gram,"wilt ,stem blight, dry root rot",5050,34.485,548.625,89.87,20.9,52.25,20.9,kharif,blacksoil,16
black gram ,"yello mossaic virus, leaf crinkle ,powdery mildew",4400,31.35,757.625,87.78,26.125,52.25,31.35,rabi,alluvialsoil,17
sesame,"bacterialblight,rootrot,phyllody",5600,28.215,836,77.33,52.25,26.125,26.125,kharif,lateritesoil,18
sweet potato,"black rot,bacterial stem,root rot",4875,25.08,470.25,54.34,209,60.61,133.76,rabi,marshy,19
mustard,"white rust, club root, bacterial blight",3700,27.17,470.25,61.655,83.6,20.9,20.9,rabi,alluvialsoil,20
soyabean,"stem rot, stram blight",3050,29.26,52.25,78.375,26.125,52.25,31.35,rabi,alluvialsoil,21
lin seed,"rust, wilt mildew, powdery mildew",4050,15.675,627,24.035,94.05,41.8,31.35,kharif,alluvialsoil,22
niger,"powdery miltew,milt",4050,21.945,1201.75,36.575,20.9,41.8,0,kharif,blacksoil,23
capsicum,"bactrial spot, charcoal rot, root knot",3500,31.35,1045,81.51,78.375,78.375,57.475,kharif,redsoil,24
cucumber,"powdery mildew, cucumber betelles, mosiac",2200,19.855,470.25,27.17,104.5,52.25,52.25,rabi,alluvialsoil,25
ridge gourd,"belly rot, bacterial milt, downey mildew",2540,33.44,522.5,82.555,104.5,62.7,62.7,kharif,alluvialsoil,26
bottle gourd,"furasium milt, powdery mildew, downey mildew",2500,26.125,313.5,67.925,104.5,52.25,52.25,rabi,alluvialsoil,27
snake gourd,"antracnose, leaf spot",2600,27.17,627,71.06,62.7,52.25,41.8,kharif,alluvialsoil,28
Water melon,"bacterial fruit blotch, antracnose",2000,26.125,574.75,66.88,62.7,41.8,41.8,kharif,alluvialsoil,29
muskmelon,"powdery mildew, root knot, ",3200,29.26,470.25,76.285,104.5,78.375,52.25,kharif,alluvialsoil,30
cauli flower,"black leg,camping off, leaf spot",3000,17.765,418,21.945,104.5,52.25,52.25,rabi,alluvialsoil,31
onion,"downey mildew,purple blotch, green mould",2500,17.765,365.75,26.125,104.5,52.25,73.15,kharif,alluvialsoil,32
french bean,"leaf spot, antracnose",5450,19.855,407.55,24.035,62.7,41.8,41.8,rabi,alluvialsoil,33
garden pea,"brown spot, gray mold, root rot",6000,18.81,449.35,24.035,31.35,52.25,26.125,rabi,alluvialsoil,34
maize,leaf blight,1750,23.115,653.25,34.17,270.345,112.56,270.345,kharif,blacksoil,1
cotton,boll weevil,5150,23.115,1005,36.18,246.225,42.21,67.335,kharif,blacksoil,2
wheat,"leaf rust , spike blight , saw fly",1840,24.12,753.75,35.175,203.01,73.365,173.865,rabi,alluvialsoil,3
paddy,"rice blast , shealth blast ",1750,25.125,678.375,55.275,18.09,3.015,18.09,kharif,alluvialsoil,4
barley,"bacterial blight , powdery mildew",1440,35.175,552.75,80.4,60.3,7.035,7.035,rabi,alluvialsoil,5
finger millet,magnaporthe grascea,1800,23.115,552.75,35.175,60.3,30.15,30.15,kharif,blacksoil,6
ground nut,"early leaf spot,rust disease,stem rot",4890,26.13,577.875,56.28,30.15,0,150.75,kharif,redsoil,7
green gram,"leaf blight,powdery mildew,root rot",5375,30.15,929.625,77.385,40.2,10.05,15.075,kharif,redsoil,8
tea,"blister blight,chemiliabiback",2000,17.085,2613,20.1,135.675,40.2,94.47,kharif,lateritesoil,9
chillies,"wilting,canker,mosaic virral",7500,20.1,552.75,22.11,75.375,75.375,55.275,kharif,alluvialsoil,10
turmeric,"ryzome,leaf bloeth,dry rot",6000,25.125,1507.5,42.21,125.625,37.185,37.185,kharif,alluvialsoil,11
sugar cane,"orangerust,leafcald,mosaicviral",275,28.14,1809,70.35,301.5,100.5,201,kharif,alluvialsoil,12
jute,"leafblight,seedlingblight,mosaicvirus",3700,28.14,1809,72.36,20.1,20.1,20.1,kharif,redsoil,13
sorghum,"bacterial leaf spot, charcoal rot",2800,28.14,527.625,75.375,80.4,40.2,0,kharif,alluvialsoil,14
bajra,downey mildew,1750,25.125,502.5,50.25,110.55,40.2,20.1,rabi,blacksoil,15
red gram,"wilt ,stem blight, dry root rot",5050,33.165,527.625,86.43,20.1,50.25,20.1,kharif,blacksoil,16
black gram ,"yello mossaic virus, leaf crinkle ,powdery mildew",4400,30.15,728.625,84.42,25.125,50.25,30.15,rabi,alluvialsoil,17
sesame,"bacterialblight,rootrot,phyllody",5600,27.135,804,74.37,50.25,25.125,25.125,kharif,lateritesoil,18
sweet potato,"black rot,bacterial stem,root rot",4875,24.12,452.25,52.26,201,58.29,128.64,rabi,marshy,19
mustard,"white rust, club root, bacterial blight",3700,26.13,452.25,59.295,80.4,20.1,20.1,rabi,alluvialsoil,20
soyabean,"stem rot, stram blight",3050,28.14,50.25,75.375,25.125,50.25,30.15,rabi,alluvialsoil,21
lin seed,"rust, wilt mildew, powdery mildew",4050,15.075,603,23.115,90.45,40.2,30.15,kharif,alluvialsoil,22
niger,"powdery miltew,milt",4050,21.105,1155.75,35.175,20.1,40.2,0,kharif,blacksoil,23
capsicum,"bactrial spot, charcoal rot, root knot",3500,30.15,1005,78.39,75.375,75.375,55.275,kharif,redsoil,24
cucumber,"powdery mildew, cucumber betelles, mosiac",2200,19.095,452.25,26.13,100.5,50.25,50.25,rabi,alluvialsoil,25
ridge gourd,"belly rot, bacterial milt, downey mildew",2540,32.16,502.5,79.395,100.5,60.3,60.3,kharif,alluvialsoil,26
bottle gourd,"furasium milt, powdery mildew, downey mildew",2500,25.125,301.5,65.325,100.5,50.25,50.25,rabi,alluvialsoil,27
snake gourd,"antracnose, leaf spot",2600,26.13,603,68.34,60.3,50.25,40.2,kharif,alluvialsoil,28
Water melon,"bacterial fruit blotch, antracnose",2000,25.125,552.75,64.32,60.3,40.2,40.2,kharif,alluvialsoil,29
muskmelon,"powdery mildew, root knot, ",3200,28.14,452.25,73.365,100.5,75.375,50.25,kharif,alluvialsoil,30
cauli flower,"black leg,camping off, leaf spot",3000,17.085,402,21.105,100.5,50.25,50.25,rabi,alluvialsoil,31
onion,"downey mildew,purple blotch, green mould",2500,17.085,351.75,25.125,100.5,50.25,70.35,kharif,alluvialsoil,32
french bean,"leaf spot, antracnose",5450,19.095,391.95,23.115,60.3,40.2,40.2,rabi,alluvialsoil,33
garden pea,"brown spot, gray mold, root rot",6000,18.09,432.15,23.115,30.15,50.25,25.125,rabi,alluvialsoil,34
maize,leaf blight,1750,22.885,646.75,33.83,267.655,111.44,267.655,kharif,blacksoil,1
cotton,boll weevil,5150,22.885,995,35.82,243.775,41.79,66.665,kharif,blacksoil,2
wheat,"leaf rust , spike blight , saw fly",1840,23.88,746.25,34.825,200.99,72.635,172.135,rabi,alluvialsoil,3
paddy,"rice blast , shealth blast ",1750,24.875,671.625,54.725,17.91,2.985,17.91,kharif,alluvialsoil,4
barley,"bacterial blight , powdery mildew",1440,34.825,547.25,79.6,59.7,6.965,6.965,rabi,alluvialsoil,5
finger millet,magnaporthe grascea,1800,22.885,547.25,34.825,59.7,29.85,29.85,kharif,blacksoil,6
ground nut,"early leaf spot,rust disease,stem rot",4890,25.87,572.125,55.72,29.85,0,149.25,kharif,redsoil,7
green gram,"leaf blight,powdery mildew,root rot",5375,29.85,920.375,76.615,39.8,9.95,14.925,kharif,redsoil,8
tea,"blister blight,chemiliabiback",2000,16.915,2587,19.9,134.325,39.8,93.53,kharif,lateritesoil,9
chillies,"wilting,canker,mosaic virral",7500,19.9,547.25,21.89,74.625,74.625,54.725,kharif,alluvialsoil,10
turmeric,"ryzome,leaf bloeth,dry rot",6000,24.875,1492.5,41.79,124.375,36.815,36.815,kharif,alluvialsoil,11
sugar cane,"orangerust,leafcald,mosaicviral",275,27.86,1791,69.65,298.5,99.5,199,kharif,alluvialsoil,12
jute,"leafblight,seedlingblight,mosaicvirus",3700,27.86,1791,71.64,19.9,19.9,19.9,kharif,redsoil,13
sorghum,"bacterial leaf spot, charcoal rot",2800,27.86,522.375,74.625,79.6,39.8,0,kharif,alluvialsoil,14
bajra,downey mildew,1750,24.875,497.5,49.75,109.45,39.8,19.9,rabi,blacksoil,15
red gram,"wilt ,stem blight, dry root rot",5050,32.835,522.375,85.57,19.9,49.75,19.9,kharif,blacksoil,16
black gram ,"yello mossaic virus, leaf crinkle ,powdery mildew",4400,29.85,721.375,83.58,24.875,49.75,29.85,rabi,alluvialsoil,17
sesame,"bacterialblight,rootrot,phyllody",5600,26.865,796,73.63,49.75,24.875,24.875,kharif,lateritesoil,18
sweet potato,"black rot,bacterial stem,root rot",4875,23.88,447.75,51.74,199,57.71,127.36,rabi,marshy,19
mustard,"white rust, club root, bacterial blight",3700,25.87,447.75,58.705,79.6,19.9,19.9,rabi,alluvialsoil,20
soyabean,"stem rot, stram blight",3050,27.86,49.75,74.625,24.875,49.75,29.85,rabi,alluvialsoil,21
lin seed,"rust, wilt mildew, powdery mildew",4050,14.925,597,22.885,89.55,39.8,29.85,kharif,alluvialsoil,22
niger,"powdery miltew,milt",4050,20.895,1144.25,34.825,19.9,39.8,0,kharif,blacksoil,23
capsicum,"bactrial spot, charcoal rot, root knot",3500,29.85,995,77.61,74.625,74.625,54.725,kharif,redsoil,24
cucumber,"powdery mildew, cucumber betelles, mosiac",2200,18.905,447.75,25.87,99.5,49.75,49.75,rabi,alluvialsoil,25
ridge gourd,"belly rot, bacterial milt, downey mildew",2540,31.84,497.5,78.605,99.5,59.7,59.7,kharif,alluvialsoil,26
bottle gourd,"furasium milt, powdery mildew, downey mildew",2500,24.875,298.5,64.675,99.5,49.75,49.75,rabi,alluvialsoil,27
snake gourd,"antracnose, leaf spot",2600,25.87,597,67.66,59.7,49.75,39.8,kharif,alluvialsoil,28
Water melon,"bacterial fruit blotch, antracnose",2000,24.875,547.25,63.68,59.7,39.8,39.8,kharif,alluvialsoil,29
muskmelon,"powdery mildew, root knot, ",3200,27.86,447.75,72.635,99.5,74.625,49.75,kharif,alluvialsoil,30
cauli flower,"black leg,camping off, leaf spot",3000,16.915,398,20.895,99.5,49.75,49.75,rabi,alluvialsoil,31
onion,"downey mildew,purple blotch, green mould",2500,16.915,348.25,24.875,99.5,49.75,69.65,kharif,alluvialsoil,32
french bean,"leaf spot, antracnose",5450,18.905,388.05,22.885,59.7,39.8,39.8,rabi,alluvialsoil,33
garden pea,"brown spot, gray mold, root rot",6000,17.91,427.85,22.885,29.85,49.75,24.875,rabi,alluvialsoil,34
maize,leaf blight,1750,22.77,643.5,33.66,266.31,110.88,266.31,kharif,blacksoil,1
cotton,boll weevil,5150,22.77,990,35.64,242.55,41.58,66.33,kharif,blacksoil,2
wheat,"leaf rust , spike blight , saw fly",1840,23.76,742.5,34.65,199.98,72.27,171.27,rabi,alluvialsoil,3
paddy,"rice blast , shealth blast ",1750,24.75,668.25,54.45,17.82,2.97,17.82,kharif,alluvialsoil,4
barley,"bacterial blight , powdery mildew",1440,34.65,544.5,79.2,59.4,6.93,6.93,rabi,alluvialsoil,5
finger millet,magnaporthe grascea,1800,22.77,544.5,34.65,59.4,29.7,29.7,kharif,blacksoil,6
ground nut,"early leaf spot,rust disease,stem rot",4890,25.74,569.25,55.44,29.7,0,148.5,kharif,redsoil,7
green gram,"leaf blight,powdery mildew,root rot",5375,29.7,915.75,76.23,39.6,9.9,14.85,kharif,redsoil,8
tea,"blister blight,chemiliabiback",2000,16.83,2574,19.8,133.65,39.6,93.06,kharif,lateritesoil,9
chillies,"wilting,canker,mosaic virral",7500,19.8,544.5,21.78,74.25,74.25,54.45,kharif,alluvialsoil,10
turmeric,"ryzome,leaf bloeth,dry rot",6000,24.75,1485,41.58,123.75,36.63,36.63,kharif,alluvialsoil,11
sugar cane,"orangerust,leafcald,mosaicviral",275,27.72,1782,69.3,297,99,198,kharif,alluvialsoil,12
jute,"leafblight,seedlingblight,mosaicvirus",3700,27.72,1782,71.28,19.8,19.8,19.8,kharif,redsoil,13
sorghum,"bacterial leaf spot, charcoal rot",2800,27.72,519.75,74.25,79.2,39.6,0,kharif,alluvialsoil,14
bajra,downey mildew,1750,24.75,495,49.5,108.9,39.6,19.8,rabi,blacksoil,15
red gram,"wilt ,stem blight, dry root rot",5050,32.67,519.75,85.14,19.8,49.5,19.8,kharif,blacksoil,16
black gram ,"yello mossaic virus, leaf crinkle ,powdery mildew",4400,29.7,717.75,83.16,24.75,49.5,29.7,rabi,alluvialsoil,17
sesame,"bacterialblight,rootrot,phyllody",5600,26.73,792,73.26,49.5,24.75,24.75,kharif,lateritesoil,18
sweet potato,"black rot,bacterial stem,root rot",4875,23.76,445.5,51.48,198,57.42,126.72,rabi,marshy,19
mustard,"white rust, club root, bacterial blight",3700,25.74,445.5,58.41,79.2,19.8,19.8,rabi,alluvialsoil,20
soyabean,"stem rot, stram blight",3050,27.72,49.5,74.25,24.75,49.5,29.7,rabi,alluvialsoil,21
lin seed,"rust, wilt mildew, powdery mildew",4050,14.85,594,22.77,89.1,39.6,29.7,kharif,alluvialsoil,22
niger,"powdery miltew,milt",4050,20.79,1138.5,34.65,19.8,39.6,0,kharif,blacksoil,23
capsicum,"bactrial spot, charcoal rot, root knot",3500,29.7,990,77.22,74.25,74.25,54.45,kharif,redsoil,24
cucumber,"powdery mildew, cucumber betelles, mosiac",2200,18.81,445.5,25.74,99,49.5,49.5,rabi,alluvialsoil,25
ridge gourd,"belly rot, bacterial milt, downey mildew",2540,31.68,495,78.21,99,59.4,59.4,kharif,alluvialsoil,26
bottle gourd,"furasium milt, powdery mildew, downey mildew",2500,24.75,297,64.35,99,49.5,49.5,rabi,alluvialsoil,27
snake gourd,"antracnose, leaf spot",2600,25.74,594,67.32,59.4,49.5,39.6,kharif,alluvialsoil,28
Water melon,"bacterial fruit blotch, antracnose",2000,24.75,544.5,63.36,59.4,39.6,39.6,kharif,alluvialsoil,29
muskmelon,"powdery mildew, root knot, ",3200,27.72,445.5,72.27,99,74.25,49.5,kharif,alluvialsoil,30
cauli flower,"black leg,camping off, leaf spot",3000,16.83,396,20.79,99,49.5,49.5,rabi,alluvialsoil,31
onion,"downey mildew,purple blotch, green mould",2500,16.83,346.5,24.75,99,49.5,69.3,kharif,alluvialsoil,32
french bean,"leaf spot, antracnose",5450,18.81,386.1,22.77,59.4,39.6,39.6,rabi,alluvialsoil,33
garden pea,"brown spot, gray mold, root rot",6000,17.82,425.7,22.77,29.7,49.5,24.75,rabi,alluvialsoil,34
maize,leaf blight,1750,22.655,640.25,33.49,264.965,110.32,264.965,kharif,blacksoil,1
cotton,boll weevil,5150,22.655,985,35.46,241.325,41.37,65.995,kharif,blacksoil,2
wheat,"leaf rust , spike blight , saw fly",1840,23.64,738.75,34.475,198.97,71.905,170.405,rabi,alluvialsoil,3
paddy,"rice blast , shealth blast ",1750,24.625,664.875,54.175,17.73,2.955,17.73,kharif,alluvialsoil,4
barley,"bacterial blight , powdery mildew",1440,34.475,541.75,78.8,59.1,6.895,6.895,rabi,alluvialsoil,5
finger millet,magnaporthe grascea,1800,22.655,541.75,34.475,59.1,29.55,29.55,kharif,blacksoil,6
